id,name,pagerank
3106,Driggs Ave & N Henry St,1.0843092835575538
330,Reade St & Broadway,1.0569278895653313
328,Watts St & Greenwich St,1.0540048332859597
322,Clinton St & Tillary St,1.0537510616624497
525,W 34 St & 11 Ave,1.0532026456154486
280,E 10 St & 5 Ave,1.0339033181864479
3323,W 106 St & Central Park West,1.0338341739352155
449,W 52 St & 9 Ave,1.0321835574376843
259,South St & Whitehall St,1.029612678584455
3572,34 Ave & 38 St,1.0039551241904694
146,Hudson St & Reade St,1.0029800628388528
3440,Fulton St & Adams St,1.0022880323457828
3446,NYCBS Depot - STY - Valet Scan,1.0010288565703733
3633,333 Johnson TEST 1,1.0009916584029561
3000,MLSWKiosk,1.0009916584029561
3239,Bressler,1.0009916584029532
3224,W 13 St & Hudson St,0.9938781002069154
79,Franklin St & W Broadway,0.9928354743004351
502,Henry St & Grand St,0.973077407146423
351,Front St & Maiden Ln,0.9706082133032081
3365,3 St & 7 Ave,0.970093413434847
3319,14 St & 5 Ave,0.9668637840221174
3403,4 Ave & 9 St,0.9657884288395203
152,Warren St & Church St,0.944011152877108
223,W 13 St & 7 Ave,0.9419783044088503
3122,48 Ave & 5 St,0.9409437252688538
3036,8D OPS 01,0.9391864294465242
3102,Driggs Ave & Lorimer St,0.9273819981965044
3180,Brooklyn Bridge Park - Pier 2,0.9259865479187044
3150,E 85 St & York Ave,0.9256102580229314
3364,Carroll St & 5 Ave,0.9227355333179447
3517,31 St & Hoyt Ave N,0.9117728977449651
3103,N 11 St & Wythe Ave,0.9112993214625749
454,E 51 St & 1 Ave,0.9090574554838174
3315,Henry St & Degraw St,0.9002469490121122
3135,E 75 St & 3 Ave,0.8902825185521182
3427,Lafayette St & Jersey St,0.8885407907504873
3417,Baltic St & 5 Ave,0.8880494635587052
262,Washington Park,0.8878257371343213
3507,Park Ave & E 124 St,0.8680046764361448
3117,Franklin St & Dupont St,0.8674985962276439
3310,14 St & 7 Ave,0.8672127293974387
337,Old Slip & Front St,0.8663726810125666
3121,Jackson Ave & 46 Rd,0.8650634888844645
3592,Crescent St & Broadway,0.8602837395034006
3085,Roebling St & N 4 St,0.8588827488174036
271,Ashland Pl & Hanson Pl,0.8559280139012074
3518,Lenox Ave & W 126 St,0.8511979328883449
247,Perry St & Bleecker St,0.8443087798271949
3617,28 Ave & 35 St,0.8442788629896751
308,St James Pl & Oliver St,0.8430662415648341
3245,Kiosk in a box Motivate,0.8429814754366162
3245,"Industry City, Building 1 Basement",0.8429814754366162
3245,NYCBS DEPOT - DELANCEY,0.8429814754366162
3384,Smith St & 3 St,0.841083416202484
3415,Prospect Pl & 6 Ave,0.8365887850863764
3379,E 103 St & Lexington Ave,0.8330146636476815
276,Duane St & Greenwich St,0.8159605841251258
2004,6 Ave & Broome St,0.8157895743454201
3470,Gowanus Tech Station,0.815534492941815
3470,Expansion Tech Station,0.815534492941815
3396,Clinton St & 4 Place,0.8029593726520703
3347,Van Brunt St & Wolcott St,0.7983406765486609
3411,Bond St & Bergen St,0.798190844407426
3286,E 89 St & 3 Ave,0.7965644752877685
3077,Stagg St & Union Ave,0.7877915230089896
349,Rivington St & Ridge St,0.7859071635023782
3370,E 78 St & 2 Ave,0.7856859312697418
3370,78 St & 2 Ave,0.7856859312697418
3169,Riverside Dr & W 82 St,0.7679654810535488
3422,Columbia St & Degraw St,0.7679445611413144
137,E 56 St & Madison Ave,0.7652208426389584
3389,Carroll St & Columbia St,0.7632035871672287
3570,35 Ave & 37 St,0.761941353916362
356,Bialystoker Pl & Delancey St,0.7503305456100196
3397,Court St & Nelson St,0.74872049807901
3595,35 St & Broadway,0.7481620610451819
3068,Humboldt St & Varet St,0.7478842396892041
407,Henry St & Poplar St,0.7475003414576374
404,9 Ave & W 14 St,0.732234622551288
3360,Amsterdam Ave & W 79 St,0.7321109239419364
489,10 Ave & W 28 St,0.7310226112762844
3320,Central Park West & W 100 St,0.7298505220972384
3293,W 92 St & Broadway,0.7246651509583347
3139,E 72 St & Park Ave,0.7192340388129226
3339,Berkeley Pl & 6 Ave,0.7187497218427978
3530,Crescent St & Ditmars Blvd,0.7162193317628188
3231,E 67 St & Park Ave,0.7155197374650898
3515,24 Ave & 26 St,0.7154389610370215
3404,7 St & 5 Ave,0.7042133755966961
3311,Columbia St & Kane St,0.7012453646571096
340,Madison St & Clinton St,0.7008346009460809
