id,name,ratio
275,Washington Ave & Greene Ave,0.9217498677015347
2021,W 45 St & 8 Ave,0.9209877961234745
500,Broadway & W 51 St,0.9203539823008849
3139,E 72 St & Park Ave,0.9188271309671865
356,Bialystoker Pl & Delancey St,0.8988805438037744
3170,W 84 St & Columbus Ave,0.896765852059584
436,Hancock St & Bedford Ave,0.8953476637400343
3587,Carroll St & Washington Ave,0.8909657320872274
3283,W 89 St & Columbus Ave,0.8751197088680329
3542,Amsterdam Ave & W 119 St,0.8742086429947702
3133,E 67 St & Lexington Ave,0.8741598207617625
3133,E 67 St & Park Ave,0.8741598207617625
3583,Eastern Pkwy & Washington Ave,0.8514619883040936
3161,W 76 St & Columbus Ave,0.8497359943577133
3623,W 120 St & Claremont Ave,0.8482352941176471
407,Henry St & Poplar St,0.848174588264763
216,Columbia Heights & Cranberry St,0.8437938575018767
282,Kent Ave & S 11 St,1.003002883563687
3329,Degraw St & Smith St,1.003001258592313
248,Laight St & Hudson St,1.0029975237846995
489,10 Ave & W 28 St,1.0027346291476904
3429,Hanson Pl & Ashland Pl,1.0007838484842064
82,St James Pl & Pearl St,1.0007724425887266
3453,Devoe St & Lorimer St,1.000625
232,Cadman Plaza E & Tillary St,1.0006097909560379
3533,St. Nicholas Ave & W 126 St,1.0005688282138794
367,E 53 St & Lexington Ave,0.997573412654038
3573,35 St & 34 Ave,0.9973404255319149
331,Pike St & Monroe St,0.997332594311844
344,Monroe St & Bedford Ave,0.9972604616122184
3070,McKibbin St & Manhattan Ave,0.9972599611827834
224,Spruce St & Nassau St,0.9967927600909962
3438,E 76 St & 3 Ave,0.996715353973024
3141,1 Ave & E 68 St,0.9967116007007334
524,W 43 St & 6 Ave,0.98999092064645
3517,31 St & Hoyt Ave N,0.9899553571428571
174,E 25 St & 1 Ave,0.9897903498773875
376,John St & William St,0.9897608362697741
487,E 20 St & FDR Drive,0.9897177307500262
3171,Amsterdam Ave & W 82 St,0.9896000291417747
3169,Riverside Dr & W 82 St,0.9895598008466212
3423,West Drive & Prospect Park West,0.9893937169700529
3405,5 St & 6 Ave,0.9893428063943162
3060,Willoughby Ave & Tompkins Ave,0.9883919062832801
518,E 39 St & 2 Ave,0.9883735182364168
3105,N 15 St & Wythe Ave,0.9883017345703913
3515,24 Ave & 26 St,0.9880418535127056
3590,Carroll St & Franklin Ave,0.9879032258064516
3083,Bushwick Ave & Powers St,0.98300564735411
444,Broadway & W 24 St,0.9828669992532578
3057,Kosciuszko St & Tompkins Ave,0.9828297281373621
3367,5 Ave & E 103 St,0.9827959056177615
3080,S 4 St & Rodney St,0.9827505280450598
3041,Kingston Ave & Herkimer St,0.977894479726429
3336,E 97 St & Madison Ave,0.9777777777777777
3081,Graham Ave & Grand St,0.9776245766811804
3136,5 Ave & E 63 St,0.9776027011817671
3398,Smith St & 9 St,0.9772049071618037
3250,NYCBS Depot - PIT,11.926829268292684
3219,NYCBS Depot - STY,4.120743034055727
3240,NYCBS Depot BAL - DYR,3.7450980392156863
3432,Bike in Movie Night | Prospect Park Bandshell,2.874747474747475
3432,NYCBS Depot - GOW,2.874747474747475
243,Fulton St & Rockwell Pl,1.1638489894495996
3596,Sullivan Pl & Bedford Ave,1.163265306122449
510,W 51 St & 6 Ave,1.15590144496473
3477,39 St & 2 Ave - Citi Bike HQ at Industry City,1.1557835820895523
2001,Sands St & Navy St,1.1507349887883067
2001,7 Ave & Farragut St,1.1507349887883067
415,Pearl St & Hanover Square,1.1340677109651338
3654,31 St & Northern Blvd,1.1304347826086956
2005,Railroad Ave & Kay Ave,1.1302285467874085
3488,8D QC Station 01,1.125
3352,Sigourney St & Columbia St,1.1210045662100456
3443,W 52 St & 6 Ave,1.10678430179495
260,Broad St & Bridge St,1.1054972548474529
3620,11 St & 43 Ave,1.1023622047244095
217,Old Fulton St,1.10146200921546
3541,Amsterdam Ave & W 125 St,1.0996784565916398
3618,27 St & Hunter St,1.0641330166270784
514,12 Ave & W 40 St,1.0637938578252522
3326,Clinton St & Centre St,1.0628140703517588
144,Nassau St & Navy St,1.0620595678411524
302,Avenue D & E 3 St,1.0042485989406453
3287,W 87 St & West End Ave,1.0042432814710043
252,MacDougal St & Washington Sq,1.0042128213243309
3436,Greenwich St & Hubert St,1.004180225943858
445,E 10 St & Avenue A,1.0016177185624118
291,Madison St & Montgomery St,1.0015699085012923
3463,E 16 St & Irving Pl,1.0015311271183491
276,Duane St & Greenwich St,1.0012943587531011
345,W 13 St & 6 Ave,1.0012679146365786
326,E 11 St & 1 Ave,0.9991328477280611
293,Lafayette St & E 8 St,0.9990775875877534
441,E 52 St & 2 Ave,0.9990391201765736
3110,Meserole Ave & Manhattan Ave,0.9989907145740815
3606,49 Ave & 21 St,0.998015873015873
340,Madison St & Clinton St,0.9979251330776716
3317,10 St & 5 Ave,0.9976828012358393
295,Pike St & E Broadway,0.9976634332358921
528,2 Ave & E 31 St,0.9924726437519432
3414,Bergen St & Flatbush Ave,0.992467694008707
512,W 29 St & 9 Ave,0.9923802021080083
3256,Pier 40 - Hudson River Park,0.9921104536489151
361,Allen St & Hester St,0.9888148175735231
330,Reade St & Broadway,0.9886766453313629
383,Greenwich Ave & Charles St,0.9883979740268845
400,Pitt St & Stanton St,0.9883930302778471
3304,6 Ave & 9 St,0.986135580237457
3102,Driggs Ave & Lorimer St,0.985916677176609
3296,E 93 St & 2 Ave,0.9858956276445698
3376,E 65 St & 2 Ave,0.9858285993525135
3569,Franklin Ave & St Marks Ave,0.9858196256381169
3142,1 Ave & E 62 St,0.981820548934206
422,W 59 St & 10 Ave,0.9817136549694154
522,E 51 St & Lexington Ave,0.9816536097175004
3637,Fulton St & Waverly Ave,0.9815668202764977
472,E 32 St & Park Ave,0.9815245569430632
3342,Pioneer St & Richards St,1.2605985037406484
3337,Dwight St & Van Dyke St,1.241752831117676
3632,E 12 St & Avenue B,1.2325977753857194
3232,Bond St & Fulton St,1.2215334420880914
3512,27 Ave & 4 St,1.2087912087912087
3478,2 Ave & 36 St - Citi Bike HQ at Industry City,1.144092219020173
337,Old Slip & Front St,1.1374218086069743
3648,Flushing Ave & Vanderbilt Ave,1.136310223266745
3063,Nostrand Ave & Myrtle Ave,1.076061320754717
137,E 56 St & Madison Ave,1.073807874379402
3068,Humboldt St & Varet St,1.073428961748634
255,NYCBS Depot - SSP,1.0733410942956927
348,W Broadway & Spring St,1.0720666324325239
3403,4 Ave & 9 St,1.0509769865392966
3392,Commerce St & Van Brunt St,1.0507555211158466
497,E 17 St & Broadway,1.0500312681003072
456,E 53 St & Madison Ave,1.0500266770141147
3168,Central Park West & W 85 St,0.9703335414776677
3358,Garfield Pl & 8 Ave,0.9701890034364261
3143,5 Ave & E 78 St,0.9699937049730712
3175,W 70 St & Amsterdam Ave,0.9697990291415651
3097,N Henry St & Richardson St,0.9697512437810946
3393,Richards St & Delavan St,1.0544852498494883
3395,Henry St & W 9 St,1.0543046357615895
3586,34 Ave & 13 St,1.054263565891473
